s_P_0,determinant0,s_P_1,determinant1
4.882777404940156e-17,-1.7794714964571026,1.5188995939964442e-14,-1.7794714964571026
4.118378497251302e-15,-1.7134881177457708,2.922665590173819e-14,-1.7134881177457708
3.6285004627710865e-14,-1.6518759535293608,2.3319075528922363e-13,-1.6518759535293608
4.1020031505773486e-14,-1.5942066358976006,2.402731860197243e-13,-1.5942066358976006
2.7382698483306324e-14,-1.5401000186404397,1.510577431876659e-13,-1.5401000186404397
2.1294478975748668e-15,-1.4892263633363405,8.230667040179254e-15,-1.4892263633363405
2.6498628974079028e-15,-1.441296415993614,1.0588088221422438e-14,-1.441296415993614
1.8409954505276933e-14,-1.3960527482726701,1.447804970066951e-13,-1.3960527482726701
3.228489912478317e-16,-1.3532663720025377,2.4637353372275477e-17,-1.3532663720025377
7.612037293329381e-16,-1.3127353880210428,1.8647274385464802e-14,-1.3127353880210428
1.0444829201909503e-14,-1.2742787354421956,6.028553649955086e-14,-1.2742787354421956
6.98776798229513e-15,-1.2377331799297615,3.563373149985294e-14,-1.2377331799297615
5.486392386021881e-17,-1.202953038920197,1.2963916109806009e-17,-1.202953038920197
1.689283588956299e-14,-1.1698073163345253,1.0646747175956532e-13,-1.1698073163345253
1.0233755747125309e-14,-1.1381773855325445,7.149775879280406e-14,-1.1381773855325445
1.5874144575716846e-14,-1.1079557112773464,9.367635509719818e-14,-1.1079557112773464
8.065121008706518e-14,-1.0790441096154655,5.968605142253751e-13,-1.0790441096154655
1.1167142757779475e-14,-1.0513539492754354,7.279976883339872e-14,-1.0513539492754354
3.9683074547435373e-14,-1.0248045162464712,2.659878108547574e-13,-1.0248045162464712
3.009679470314717e-15,-0.9993212101500032,3.488977675281626e-14,-0.9993212101500032
8.076863606916229e-17,-0.9748368880419271,2.4940866479401206e-15,-0.9748368880419271
1.1145789910714955e-16,-0.9512891888045528,3.255678267003751e-15,-0.9512891888045528
9.87286969472754e-15,-0.9286205807518474,7.561235703336353e-14,-0.9286205807518474
1.3450605866702349e-14,-0.9067786971920238,8.277511904381081e-14,-0.9067786971920238
